sys,t_res,s_res,tr,ta,total_time,percent_area
Polaris-MERRA2,year,0.25,0.024474620819091797,0,0.024474620819091797,50
Polaris-MERRA2,year,0.25,0.023677587509155273,0,0.023677587509155273,50
Polaris-MERRA2,month,0.5,0.026374101638793945,0,0.026374101638793945,1
Polaris-MERRA2,month,0.5,0.025430679321289062,0,0.025430679321289062,1
Polaris-MERRA2,month,0.5,0.0253143310546875,0,0.0253143310546875,1
Polaris-MERRA2,month,0.5,0.025423288345336914,0,0.025423288345336914,25
Polaris-MERRA2,month,0.5,0.0246431827545166,0,0.0246431827545166,25
Polaris-MERRA2,month,0.5,0.023921489715576172,0,0.023921489715576172,25
Polaris-MERRA2,month,0.5,0.024600505828857422,0,0.024600505828857422,50
Polaris-MERRA2,month,0.5,0.02392578125,0,0.02392578125,50
Polaris-MERRA2,month,0.5,0.024619102478027344,0,0.024619102478027344,50
Polaris-MERRA2,month,0.5,0.024025440216064453,0,0.024025440216064453,1
Polaris-MERRA2,month,0.5,0.02530670166015625,0,0.02530670166015625,1
Polaris-MERRA2,month,0.5,0.023873090744018555,0,0.023873090744018555,1
Polaris-MERRA2,month,0.5,0.024529218673706055,0,0.024529218673706055,25
Polaris-MERRA2,month,0.5,0.023885250091552734,0,0.023885250091552734,25
Polaris-MERRA2,month,0.5,0.024556875228881836,0,0.024556875228881836,25
Polaris-MERRA2,month,0.5,0.023873567581176758,0,0.023873567581176758,50
Polaris-MERRA2,month,0.5,0.02458786964416504,0,0.02458786964416504,50
Polaris-MERRA2,month,0.5,0.023913860321044922,0,0.023913860321044922,50
Polaris-MERRA2,month,0.5,0.024634599685668945,0,0.024634599685668945,1
Polaris-MERRA2,month,0.5,0.02392268180847168,0,0.02392268180847168,1
Polaris-MERRA2,month,0.5,0.024596214294433594,0,0.024596214294433594,1
Polaris-MERRA2,month,0.5,0.023908376693725586,0,0.023908376693725586,25
Polaris-MERRA2,month,0.5,0.0245974063873291,0,0.0245974063873291,25
Polaris-MERRA2,month,0.5,0.02383565902709961,0,0.02383565902709961,25
Polaris-MERRA2,month,0.5,0.024742841720581055,0,0.024742841720581055,50
Polaris-MERRA2,month,0.5,0.023931503295898438,0,0.023931503295898438,50
Polaris-MERRA2,month,0.5,0.0245821475982666,0,0.0245821475982666,50
Polaris-MERRA2,hour,1,0.48588037490844727,0,0.48588037490844727,1
Polaris-MERRA2,hour,1,0.48699235916137695,0,0.48699235916137695,1
Polaris-MERRA2,hour,1,0.5011348724365234,0,0.5011348724365234,1
Polaris-MERRA2,hour,1,0.5087456703186035,0,0.5087456703186035,25
Polaris-MERRA2,hour,1,0.4614553451538086,0,0.4614553451538086,25
Polaris-MERRA2,hour,1,0.4629812240600586,0,0.4629812240600586,25
Polaris-MERRA2,hour,1,0.46622419357299805,0,0.46622419357299805,50
Polaris-MERRA2,hour,1,0.4599001407623291,0,0.4599001407623291,50
Polaris-MERRA2,hour,1,0.47766590118408203,0,0.47766590118408203,50
Polaris-MERRA2,hour,1,0.461345911026001,0,0.461345911026001,1
Polaris-MERRA2,hour,1,0.4797828197479248,0,0.4797828197479248,1
Polaris-MERRA2,hour,1,0.4756443500518799,0,0.4756443500518799,1
Polaris-MERRA2,hour,1,0.47484469413757324,0,0.47484469413757324,25
Polaris-MERRA2,hour,1,0.46447229385375977,0,0.46447229385375977,25
Polaris-MERRA2,hour,1,0.4563608169555664,0,0.4563608169555664,25
Polaris-MERRA2,hour,1,0.4708847999572754,0,0.4708847999572754,50
Polaris-MERRA2,hour,1,0.4759836196899414,0,0.4759836196899414,50
Polaris-MERRA2,hour,1,0.47475171089172363,0,0.47475171089172363,50
Polaris-MERRA2,hour,1,0.47632384300231934,0,0.47632384300231934,1
